name,credit,class,for,totalstudent,day,shift,at,lectures
Cơ sở dữ liệu,4,MAT3507 2,Toán - Tin,25,5,1-5,PM,Trần Thị Hương
Cơ sở dữ liệu,4,MAT3507 3,Toán - Tin,25,5,1-5,PM,Trần Thị Hương
Lịch sử Đảng Cộng sản Việt Nam,2,Môn chung,Toán học,,,,#N/A,
Đại số đại cương,4,"MAT3300 1,2",Toán học,,5,6-8,206-T5,Võ Thị Như Quỳnh
Đại số đại cương,4,MAT3300 1,Toán học,35,6,6-7,111-T5,Đỗ Việt Cường
Đại số đại cương,4,MAT3300 2,Toán học,35,6,6-7,107-T5,Nguyễn Minh Hoàng
Tôpô đại cương,3,MAT3305,Toán học,,2,6-8,205-T5,Đào Phương Bắc
Xác suất 1,3,MAT2308,Toán học,,4,4-5,107-T5,Nguyễn Tiến Dũng
Xác suất 1,3,MAT2308,Toán học,,3,1-2,108-T5,Nguyễn Trung Đức
Giải tích phức,4,MAT3344 1,Toán học,,3,6-8,204-T5,Nguyễn Thạc Dũng
Giải tích phức,4,MAT3344 1,Toán học,,6,9-10,103-T5,Trịnh Huy Vũ
Hình học giải tích,2,MAT2310,Toán học,,5,3-5,207-T5,Nguyễn Minh Hoàng
Phương trình vi phân,4,MAT2314 2,Toán học,,3,3-5,309-T5,Nguyễn Hữu Dư
Phương trình vi phân,4,MAT2314 2,Toán học,,6,9-10,304-T5,Trịnh Hoàng Dũng
Tối ưu hóa,3,MAT2407 5,Toán học,,4,4-5,306-T5,Hoàng Nam Dũng
Tối ưu hóa,3,MAT2407 5,Toán học,,5,1-2,306-T5,Hoàng Nam Dũng
Đại số đại cương,4,MAT3300 3,Toán học,,2,3-5,207-T5,Võ Thị Như Quỳnh
Đại số đại cương,4,MAT3300 3,Toán học,,4,1-2,413-T5,Ngô Anh Tuấn
Giải tích hàm,4,MAT3340,Toán học,,5,3-5,404-T5,Lê Huy Chuẩn
Giải tích hàm ,4,MAT3340,Toán học,,3,6-7,309-T5,Lê Huy Chuẩn
Giải tích phức,4,MAT3344 2,Toán học,,6,6-8,309-T5,Phạm Trọng Tiến
Giải tích phức,4,MAT3344 2,Toán học,,2,6-7,309-T5,Phạm Trọng Tiến
Đại số tuyến tính  1,4,MAT2300,Toán học + Toán Tin,,5,8-10,104-T5,Lê Quý Thường
Đại số tuyến tính  1,4,MAT2300,Toán học + Toán Tin,,4,1-2,108-T5,Nguyễn Minh Đức
Giải tích 1,4,MAT2501,KHMT&TT + KHDL,,3,3-5,204-T5,Trịnh Viết Dược
Giải tích 1,4,MAT2501,KHMT&TT + KHDL,,4,6-8,106-T5,Phạm Thế Hào
Giải tích 1,5,MAT2302,Toán học + Toán Tin,,3,6-8,209-T5,Vũ Nhật Huy
Giải tích 1,5,MAT2302,Toán học + Toán Tin,,2,6-7,204-T5,Trần Thế Dũng
Giải tích 1,5,MAT2302,Toán học + Toán Tin,,5,6-7,204-T5,Trần Thế Dũng
Giải tích 2,4,"MAT2502 1,2",KHDL,,3,6-8,102-T5,Trần Thanh Tuấn
Giải tích 2,4,MAT2502 1,KHDL,35,5,6-8,109-T5,Lê Gia Linh
Giải tích 2,4,MAT2502 2,KHDL,35,5,6-8,111-T5,Nguyễn Thị Nga
Toán rời rạc,4,MAT3500,KHDL,,4,1-3,203-T5,Hoàng Anh Đức
Toán rời rạc,4,MAT3500,KHDL,,5,9-10,206-T5,Hoàng Anh Đức
Môi trường lập trình Linux,2,"MAT3557 1,2,3",KHDL,,3,9-10,101-T5,Trần Thị Hương
Môi trường lập trình Linux,2,MAT3557 1,KHDL,25,2,2-5,PM,Trần Thị Hương
Môi trường lập trình Linux,2,MAT3557 2,KHDL,25,2,2-5,PM,Hà Mỹ Linh
Môi trường lập trình Linux,2,MAT3557 3,KHDL,25,2,2-5,PM,Hà Mỹ Linh
Nhập môn phân tích dữ liệu,2,Môn chung,KHDL,,,,#N/A,
Nhập môn Internet kết nối vạn vật,2,Môn chung,KHDL,,,,#N/A,
Kinh tế chính trị Mác - Lênin,2,Môn chung,KHDL,,,,Môn chung toàn trường,
Lập trình cơ bản,3,"MAT2505 1,2,3",KHDL,,4,4-5,202-T5,Nguyễn Thị Tâm
Lập trình cơ bản,3,MAT2505 1,KHDL,25,6,6-10,PM,BMTH
Lập trình cơ bản,3,MAT2505 2,KHDL,25,6,6-10,PM,BMTH
Lập trình cơ bản,3,MAT2505 3,KHDL,25,6,6-10,PM,BMTH
Tiếng Anh B1,5,Môn chung,KHMT&TT,,,,#N/A,
Tiếng Anh B1,5,Môn chung,KHMT&TT,,,,#N/A,
Kinh tế chính trị Mác - Lênin,2,Môn chung,KHMT&TT,,,,Môn chung toàn trường,
Đại số tuyến tính,5,"MAT2400 1,2",KHMT&TT,,2,1-3,107-T5,Lê Quý Thường
Đại số tuyến tính,5,MAT2400 1,KHMT&TT,30,6,3-5,109-T5,Nguyễn Thế Cường
Đại số tuyến tính,5,MAT2400 2,KHMT&TT,30,6,3-5,111-T5,Đỗ Việt Cường
Giải tích 2,4,"MAT2502 3,4",KHMT&TT,,3,6-8,205-T5,Nguyễn Thị Hoài
Giải tích 2,4,MAT2502 3,KHMT&TT,30,6,6-8,109-T5,Nguyễn Tiến Mạnh
Giải tích 2,4,MAT2502 4,KHMT&TT,30,6,6-8,106-T5,Trịnh Huy Vũ
Lập trình hướng đối tượng,3,"MAT1202 4,5,6",KHMT&TT,,3,9-10,105-T5,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 4,KHMT&TT,20,2,6-10,PM,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 5,KHMT&TT,20,2,6-10,PM,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 6,KHMT&TT,20,2,6-10,PM,Quản Thái Hà
Kinh tế chính trị Mác - Lênin,2,Môn chung,KHMT&TT,,,,Môn chung toàn trường,
Đại số tuyến tính,5,"MAT2400 3,4",KHMT&TT,,6,6-8,103-T5,Võ Thị Như Quỳnh
Đại số tuyến tính,5,MAT2400 3,KHMT&TT,30,5,1-3,109-T5,Phạm Văn Tuấn
Đại số tuyến tính,5,MAT2400 4,KHMT&TT,30,5,1-3,111-T5,Ngô Anh Tuấn
Giải tích 2,4,"MAT2502 5,6",KHMT&TT,,2,3-5,206-T5,Phạm Trọng Tiến
Giải tích 2,4,MAT2502 5,KHMT&TT,30,3,1-3,106-T5,Phạm Thế Hào
Giải tích 2,4,MAT2502 6,KHMT&TT,30,3,1-3,111-T5,Lê Gia Linh
Lập trình hướng đối tượng,3,"MAT1202 7,8,9",KHMT&TT,,5,6-7,106-T5,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 7,KHMT&TT,20,4,1-5,PM,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 8,KHMT&TT,20,4,1-5,PM,Quản Thái Hà
Lập trình hướng đối tượng,3,MAT1202 9,KHMT&TT,20,4,1-5,PM,Quản Thái Hà
Tiếng Anh B1,5,Môn chung,Toán học,,,,#N/A,
Kinh tế chính trị Mác - Lênin,2,Môn chung,Toán học,,,,Môn chung toàn trường,
Cơ học lý thuyết,3,MAT1076,Toán học,,3,1-2,107-T5,Trần Thanh Tuấn
Cơ học lý thuyết,3,MAT1076,Toán học,,5,1-2,107-T5,Trần Thanh Tuấn
Giải tích 2,5,"MAT2303 1,2",Toán học,,4,3-5,106-T5,Lê Huy Chuẩn
Giải tích 2,5,MAT2303 1,Toán học,30,5,4-5,204-T5,Ngô Thị Thương
Giải tích 2,5,MAT2303 2,Toán học,30,5,4-5,203-T5,Ninh Thị Thu
Giải tích 2,5,MAT2303 1,Toán học,30,6,4-5,204-T5,Ngô Thị Thương
Giải tích 2,5,MAT2303 2,Toán học,30,6,4-5,203-T5,Ninh Thị Thu
